from,to
tbc,cole
tbc,mani
tbc,arbi
tbc,ansopi
tbc,tira
tbc,nohu
tbc,bjfr
tbc,hebe
tbc,nidico
tbc,erri
tbc,pegi
tbc,vima
tbc,keko
tbc,hebl
tbc,erfr
tbc,sebr
tbc,chbau
tbc,elaz
tbc,chda
tbc,anca
tbc,quda
tbc,thke
tbc,maco
tbc,hayo
tbc,dabi
tbc,eshoba
tbc,atta
tbc,stbu
tbc,rere
tbc,alpa
tbc,maul
tbc,maal
tbc,enat
tbc,piga
tbc,dasc
tbc,dahu
tbc,anch
tbc,grac
tbc,roem
tbc,alad
tbc,grbe
tbc,mabo
tbc,rako
tbc,yaal
tbc,encr
tbc,nibr
tbc,alat
tbc,damu
tbc,mibr
tbc,joro
wfb,riek
wfb,joth
wfb,dahun
wfb,jowi
wfb,gema
wfb,anluad
wfb,anro
wfb,begr
wfb,besh
wfb,dasoin
wfb,dath
wfb,enol
wfb,gaac
wfb,gaan
wfb,yona
wfb,here
wfb,ismc
wfb,josk
wfb,jova
wfb,jumaar
wfb,niro
wfb,rogu
wfb,viar
wfb,vlmu
wfb,zaha
wfb,brgr
lec,erpr
lec,mabe
lec,dabo
lec,joro
lec,ansopi
lec,erfr
lec,quda
lec,thke
lec,maco
lec,rere
lec,alpa
lec,maal
lec,piga
lec,dahu
lec,anch
lec,grac
lec,mabo
lec,rako
lec,yaal
lec,encr
lec,mibr
lec,seya
lec,jobo
lec,emre
lec,paba
lec,aldu
lec,pabo
lec,gigo
lec,mitr
lec,ardo
lec,arla
lec,hawo
lec,rema
lec,yomu
lec,jefr
lec,bepa
lec,jabo
lec,anca
lec,chba
lec,migu
lec,chlesq
lec,anluad
lec,alco
lec,pekn
lec,svel
lec,daba
lec,pego
lec,papa
lec,alga
lec,jion
tad,maha
tad,mabe
tad,dabo
tad,jaga
tad,cheo
tad,mits
tad,joro
tad,toba
tad,rabl
tad,erpr
toba,rabl
toba,lagr
erpr,belo
erpr,piga
erpr,anwe
erpr,rema
maha,pabo
maha,gale
maha,getr
dabo,alse
dabo,lagr
cheo,docr
joro,fead
joro,sasa
joro,geblu
cole,thke
cole,mapiwh
cole,dabo
cole,gusa
mani,paba
mani,alpa
arbi,aldu
arbi,erfr
arbi,logr
ansopi,alpi
tira,frra
tira,rosc
nohu,rema
bjfr,chli
bjfr,nila
bjfr,alpa
hebe,alkl
hebe,hewi
nidico,gumar
nidico,jumaar
nidico,elar
nidico,gatr
erri,jorob
erri,jelopa
erri,dabou
erri,maleco
vima,gaac
keko,gigo
keko,aldu
keko,jorob
keko,jefr
keko,chmo
erfr,rofe
erfr,chcon
erfr,jesa
erfr,emta
erfr,clde
erfr,jeclvr
sebr,mibr
chbau,hawo
elaz,jumaar
elaz,alro
elaz,aldu
elaz,piga
chda,mabe
chda,pesu
chda,paba
chda,pego
chda,nila
chda,mica
ancan,vieq
ancan,maha
thke,gusa
thke,rohe
maco,belo
maco,alpa
maco,aldu
maco,guma
hayo,bero
hayo,mibr
dabi,phle
dabi,erbr
dabi,chlesq
atta,piga
atta,quda
atta,sehe
stbu,miro
rere,fead
rere,japo
rere,lapo
rere,throan
rere,pian
rere,thke
alpa,mike
alpa,gebo
alpa,alse
maal,alchi
maal,mave
maal,migu
maal,rich
enat,anluad
enat,mabe
piga,jeclga
piga,pabo
piga,rade
piga,alse
dahu,dame
anch,japo
anch,lapo
anch,piga
grac,chtr
grac,thke
roem,fead
roem,rako
alad,anes
alad,frto
grbe,pabo
grbe,frro
grbe,suen
mabo,aldu
mabo,fead
rako,roso
yaal,mama
yaal,gabi
yaal,logr
encr,mibr
encr,fead
encr,gumar
encr,chwi
encr,giar
encr,anwe
nibr,sehe
seya,hiko
jobo,edme
emre,mave
emre,yvth
paba,alpa
aldu,alch
aldu,migu
aldu,rove
pabo,eubr
gigo,rove
mitr,pabo
mitr,gari
mitr,fepo
mitr,pame
mitr,frgi
mitr,migu
ardo,aldu
ardo,migu
arla,migu
arla,rove
hawo,wisc
hawo,ecwi
hawo,alch
jefr,brci
jefr,chcon
jefr,aldu
bepa,clpe
migu,hasn
anluad,jumaar
anluad,raro
anluad,hiar
anluad,jelone
anluad,fead
anluad,fear
anluad,pesu
anluad,mabe
pekn,hewi
svel,dibi
svel,dokahe
svel,dimue
pego,gale
riek,alpa
riek,gusa
riek,piga
riek,hasn
dahun,anluad
jowi,hawo
gema,frma
besh,mali
dasoin,enol
yona,jorob
yona,pabo
yona,frgi
yona,ezsa
here,kaob
here,ruob
here,alch
here,anmo
here,jorob
jova,enol
jova,osve
vlmu,chet
vlmu,miph