from,to,weight
tbc,cole,1
tbc,mani,1
tbc,arbi,1
tbc,ansopi,1
tbc,tira,1
tbc,nohu,1
tbc,bjfr,1
tbc,hebe,1
tbc,nidico,1
tbc,erri,1
tbc,pegi,1
tbc,vima,1
tbc,keko,1
tbc,hebl,1
tbc,erfr,1
tbc,sebr,1
tbc,chbau,1
tbc,elar,1
tbc,chda,1
tbc,anca,1
tbc,quda,1
tbc,thke,1
tbc,maco,1
tbc,hayo,1
tbc,dabi,1
tbc,eshoba,1
tbc,atta,1
tbc,stbu,1
tbc,rere,1
tbc,alpa,1
tbc,maul,1
tbc,maal,1
tbc,enat,1
tbc,piga,1
tbc,dasc,1
tbc,dahu,1
tbc,ancan,1
tbc,anch,1
tbc,grac,1
tbc,roem,1
tbc,alad,1
tbc,grbe,1
tbc,mabo,1
tbc,rako,1
tbc,yaal,1
tbc,encr,1
tbc,nibr,1
tbc,alat,1
tbc,damu,1
tbc,mibr,1
tbc,joro,1
wfb,papa,1
wfb,pego,1
wfb,daba,1
wfb,aldu,1
wfb,paba,1
wfb,jobo,1
wfb,seya,1
wfb,alat,1
wfb,encr,1
wfb,yaal,1
wfb,rako,1
wfb,mabo,1
wfb,alad,1
wfb,grac,1
wfb,anch,1
wfb,dahu,1
wfb,enat,1
wfb,maal,1
wfb,alpa,1
wfb,maco,1
wfb,elar,1
wfb,hebl,1
wfb,vima,1
wfb,erri,1
wfb,tira,1
wfb,joro,1
wfb,mits,1
wfb,riek,1
wfb,joth,1
wfb,dahun,1
wfb,jowi,1
wfb,gema,1
wfb,anluad,1
wfb,anro,1
wfb,begr,1
wfb,besh,1
wfb,dasoin,1
wfb,dath,1
wfb,enol,1
wfb,gaac,1
wfb,gaan,1
wfb,yona,1
wfb,here,1
wfb,ismc,1
wfb,josk,1
wfb,jova,1
wfb,jumaar,1
wfb,niro,1
wfb,rogu,1
wfb,viar,1
wfb,vlmu,1
wfb,zaha,1
wfb,brgr,1
lec,erpr,1
lec,mabe,1
lec,dabo,1
lec,joro,1
lec,ansopi,1
lec,erfr,1
lec,quda,1
lec,thke,1
lec,maco,1
lec,rere,1
lec,alpa,1
lec,maal,1
lec,piga,1
lec,dahu,1
lec,anch,1
lec,grac,1
lec,mabo,1
lec,rako,1
lec,yaal,1
lec,encr,1
lec,mibr,1
lec,seya,1
lec,jobo,1
lec,emre,1
lec,paba,1
lec,aldu,1
lec,pabo,1
lec,gigo,1
lec,mitr,1
lec,ardo,1
lec,arla,1
lec,hawo,1
lec,rema,1
lec,yomu,1
lec,jefr,1
lec,bepa,1
lec,jabo,1
lec,anca,1
lec,chba,1
lec,migu,1
lec,chlesq,1
lec,anluad,1
lec,alco,1
lec,pekn,1
lec,svel,1
lec,daba,1
lec,pego,1
lec,papa,1
lec,alga,1
lec,jion,1
tad,maha,1
tad,mabe,1
tad,dabo,1
tad,jaga,1
tad,cheo,1
tad,mits,1
tad,joro,1
tad,toba,1
tad,rabl,1
tad,erpr,1
rabl,toba,2
lagr,toba,2
belo,erpr,2
piga,erpr,2
anwe,erpr,2
rema,erpr,2
pabo,maha,2
gale,maha,2
getr,maha,2
alse,dabo,2
lagr,dabo,2
docr,cheo,2
fead,joro,2
sasa,joro,2
geblu,joro,2
thke,cole,2
mapiwh,cole,2
dabo,cole,2
gusa,cole,2
paba,mani,2
alpa,mani,2
aldu,arbi,2
erfr,arbi,2
logr,arbi,2
alpi,ansopi,2
frra,tira,2
rosc,tira,2
rema,nohu,2
chli,bjfr,2
nila,bjfr,2
alpa,bjfr,2
alkl,hebe,2
hewi,hebe,2
gumar,nidico,2
jumaar,nidico,2
elar,nidico,2
gatr,nidico,2
jorob,erri,2
jelopa,erri,2
dabou,erri,2
maleco,erri,2
gaac,vima,2
gigo,keko,2
aldu,keko,2
jorob,keko,2
jefr,keko,2
chmo,keko,2
rofe,erfr,2
chcon,erfr,2
jesa,erfr,2
emta,erfr,2
clde,erfr,2
jeclvr,erfr,2
mibr,sebr,2
hawo,chbau,2
jumaar,elar,2
alro,elar,2
aldu,elar,2
piga,elar,2
mabe,chda,2
pesu,chda,2
paba,chda,2
pego,chda,2
nila,chda,2
mica,chda,2
vieq,ancan,2
maha,ancan,2
gusa,thke,2
rohe,thke,2
belo,maco,2
alpa,maco,2
aldu,maco,2
guma,maco,2
bero,hayo,2
mibr,hayo,2
phle,dabi,2
erbr,dabi,2
chlesq,dabi,2
piga,atta,2
quda,atta,2
sehe,atta,2
miro,stbu,2
fead,rere,2
japo,rere,2
lapo,rere,2
throan,rere,2
pian,rere,2
thke,rere,2
mike,alpa,2
gebo,alpa,2
alse,alpa,2
alchi,maal,2
mave,maal,2
migu,maal,2
rich,maal,2
anluad,enat,2
mabe,enat,2
jeclga,piga,2
pabo,piga,2
rade,piga,2
alse,piga,2
dame,dahu,2
japo,anch,2
lapo,anch,2
piga,anch,2
chtr,grac,2
thke,grac,2
fead,roem,2
rako,roem,2
anes,alad,2
frto,alad,2
pabo,grbe,2
frro,grbe,2
feco,grbe,2
aldu,mabo,2
fead,mabo,2
roso,rako,2
mama,yaal,2
gabi,yaal,2
logr,yaal,2
mibr,encr,2
fead,encr,2
gumar,encr,2
chwi,encr,2
giar,encr,2
anwe,encr,2
sehe,nibr,2
hiko,seya,2
edme,jobo,2
mave,emre,2
yvth,emre,2
alpa,paba,2
alch,aldu,2
migu,aldu,2
rove,aldu,2
eubr,pabo,2
rove,gigo,2
pabo,mitr,2
gari,mitr,2
fepo,mitr,2
pame,mitr,2
frgi,mitr,2
migu,mitr,2
aldu,ardo,2
migu,ardo,2
migu,arla,2
rove,arla,2
wisc,hawo,2
ecwi,hawo,2
alch,hawo,2
brci,jefr,2
chcon,jefr,2
aldu,jefr,2
clpe,bepa,2
hasn,migu,2
jumaar,anluad,2
raro,anluad,2
hiar,anluad,2
jelone,anluad,2
fead,anluad,2
fear,anluad,2
pesu,anluad,2
mabe,anluad,2
hewi,pekn,2
dibi,svel,2
dokahe,svel,2
dimue,svel,2
gale,pego,2
alpa,riek,2
gusa,riek,2
piga,riek,2
hasn,riek,2
anluad,dahun,2
hawo,jowi,2
frma,gema,2
mali,besh,2
enol,dasoin,2
jorob,yona,2
pabo,yona,2
frgi,yona,2
ezsa,yona,2
kaob,here,2
ruob,here,2
alch,here,2
anmo,here,2
jorob,here,2
enol,jova,2
osve,jova,2
chet,vlmu,2
miph,vlmu,2