id,name,restaurant
elite,elitetraveler,
frgi,franck giovannini,restaurant de l'hotel de ville
grac,grant achatz,alinea
dahu,daniel humm,eleven madison park
mabo,massimo bottura,osteria francescana
enat,eneko atxa,azurmendi
thke,thomas keller,per se
chko,christopher kostow,the restaurant at meadowood
gusa,guy savoy,restaurant guy savoy
erri,eric ripert,le bernardin
joro,joan roca,el celler de can roca
tripa,tripadvisor,
frpe,franck pelux,au crocodile
mabe,martin berasategui,martin berasategui
joro,joan roca,el celler de can roca
saba,satwant singh bains,sat bains
raza,rafael zafra,restaurante benazuza
jaga,james gaag,la colombe
igle,ignace lecleir,trb hutong
anca,antonino cannavacciuolo,villa crespi
scde,scott denning,the grove
cho,chef o,davids kitchen 
world,worlds 50 best,
mabo,massimo bottura,osteria francescana
joro,joan roca,el celler de can roca
maco,mauro colagreco,mirazur
dahu,daniel humm,eleven madison park
gaan,gaggan anand,gaggan
vima,virgilio matinez,central
mits,mitsuharu tsumura,maido
alpa,alain passard,arpege
anad,andoni luis aduriz,mugaritz
viar,victor arguinzoniz,asador etxebarri
leche,le chef,
ardo,arnaud donckele,residence de la pinede
mitr,michel troisgros,maison troisgros restaurant
jobo,jonnie boer,de librije
yaal,yannick alleno,alleno paris
seya,seiji yamamoto,nihonryori ryugin
papa,paul pairet,ultraviolet
emre,emmanuel renaut,flocons de sel
daki,david kinch,manresa
alco,alexandre couillon,la marine
rere,rene redzepi,noma
thebei,the beijinger,
jufr,juan francisco,pachapapi
anni,annie,ponte
anah,andrew ahn,maru
chti,chika tillmann,chickalicious
dach,david chang,royal stacks
fuma,fu man yuan,fu man yuan
huan,huang,niu jiu fen
huhu,huixi huang,ology
thebes,the best chef,
joro,joan roca,el celler de can roca
rere,rené redzepi,noma 2.0 
damu,david muñoz,diverxo 
bjfr,björn frantzén,frantzén
jobo,jonnie boer,de librije
niro,niko romito,casadonale reale
alat,alex atala,dom
mabo,massimo bottura,osteria francescana
yaal,yannick alléno,pavillon ledoyen
vlmu,vladimir mukhin,white rabbit